epoch,lr-AdamW,step,train_acc,train_loss,val_acc,val_loss
,0.0003,0,,,,
0,,350,,,0.5248000025749207,1.2842020988464355
0,,350,0.47774216532707214,1.4485985040664673,,
,0.0003,351,,,,
1,,701,,,0.48980000615119934,1.5129809379577637
1,,701,0.6183671355247498,1.0828707218170166,,
,0.0003,702,,,,
2,,1052,,,0.6376000046730042,1.0247186422348022
2,,1052,0.678441047668457,0.9204156398773193,,
,0.0003,1053,,,,
3,,1403,,,0.5961999893188477,1.1537084579467773
3,,1403,0.7130964994430542,0.8227481842041016,,
,0.0003,1404,,,,
4,,1754,,,0.7166000008583069,0.79523766040802
4,,1754,0.7385149598121643,0.7468163371086121,,
,0.0003,1755,,,,
5,,2105,,,0.7184000015258789,0.7944166660308838
5,,2105,0.7591702342033386,0.6970654129981995,,
,0.0003,2106,,,,
6,,2456,,,0.7454000115394592,0.7170186638832092
6,,2456,0.7753071784973145,0.6492431163787842,,
,0.0003,2457,,,,
7,,2807,,,0.7444000244140625,0.7306960225105286
7,,2807,0.7868812084197998,0.6155813336372375,,
,0.0003,2808,,,,
8,,3158,,,0.7692000269889832,0.6681943535804749
8,,3158,0.8016381859779358,0.5803767442703247,,
,0.0003,3159,,,,
9,,3509,,,0.7694000005722046,0.6737512946128845
9,,3509,0.8054665327072144,0.5587375164031982,,
,0.0003,3510,,,,
10,,3860,,,0.7728000283241272,0.6422712802886963
10,,3860,0.8168625235557556,0.5323670506477356,,
,0.0003,3861,,,,
11,,4211,,,0.8126000165939331,0.5493677258491516
11,,4211,0.82634437084198,0.5081039667129517,,
,0.0003,4212,,,,
12,,4562,,,0.803600013256073,0.5541597604751587
12,,4562,0.8317753076553345,0.48926863074302673,,
,0.0003,4563,,,,
13,,4913,,,0.8046000003814697,0.5790898203849792
13,,4913,0.8376513719558716,0.4712356626987457,,
,0.0003,4914,,,,
14,,5264,,,0.8073999881744385,0.5550026297569275
14,,5264,0.8421697020530701,0.45896729826927185,,
,0.0003,5265,,,,
15,,5615,,,0.8009999990463257,0.6043676733970642
15,,5615,0.8465322256088257,0.44392889738082886,,
,0.0003,5616,,,,
16,,5966,,,0.7811999917030334,0.6996344923973083
16,,5966,0.8541443943977356,0.4310011863708496,,
,0.0003,5967,,,,
17,,6317,,,0.7986000180244446,0.5960761308670044
17,,6317,0.8564147353172302,0.41803473234176636,,
,0.0003,6318,,,,
18,,6668,,,0.8080000281333923,0.5730790495872498
18,,6668,0.8621572256088257,0.40206608176231384,,
,0.0003,6669,,,,
19,,7019,,,0.8320000171661377,0.501650333404541
19,,7019,0.8647836446762085,0.3918819725513458,,
